Nombre;Ranking;Puntuacion;Comapanero;Posicion;LugarNacimiento;FechaNacimiento;Altura;Residencia;PartidosJugados;PartidosGanados;PartidosPerdidos;Rendimiento;Racha;2020_PartidosJugados;2020_PartidosGanados;2020_PartidosPerdidos;2020_Rendimiento;2020_Torneos ganados;2020_Finales;2019_PartidosJugados;2019_PartidosGanados;2019_PartidosPerdidos;2019_Rendimiento;2019_Torneos ganados;2019_Finales;2018_PartidosJugados;2018_PartidosGanados;2018_PartidosPerdidos;2018_Rendimiento;2018_Torneos ganados;2018_Finales;2017_PartidosJugados;2017_PartidosGanados;2017_PartidosPerdidos;2017_Rendimiento;2017_Torneos ganados;2017_Finales;2016_PartidosJugados;2016_PartidosGanados;2016_PartidosPerdidos;2016_Rendimiento;2016_Torneos ganados;2016_Finales;2015_PartidosJugados;2015_PartidosGanados;2015_PartidosPerdidos;2015_Rendimiento;2015_Torneos ganados;2015_Finales;2014_PartidosJugados;2014_PartidosGanados;2014_PartidosPerdidos;2014_Rendimiento;2014_Torneos ganados;2014_Finales;2013_PartidosJugados;2013_PartidosGanados;2013_PartidosPerdidos;2013_Rendimiento;2013_Torneos ganados;2013_Finales;Circuito
Francisco Navarro Compán;1;12010;Pablo Lima;Revés;Sevilla;10/02/1989;1,81;Madrid;407;307;100;0.7542997542997543;15;23;17;6;0.7391304347826086;1;1;60;48;12;0.8;5;5;48;34;14;0.7083333333333334;1;4;59;48;11;0.8135593220338984;5;6;57;44;13;0.7719298245614035;2;8;60;46;14;0.7666666666666667;1;5;50;38;12;0.76;2;1;50;32;18;0.64;0;0;Masculino
Juan Lebrón Chincoa;2;11330;Alejandro Galán Romo;Revés;Puerto de Sta. María;30/01/1995;1,84;Madrid;302;191;111;0.6324503311258278;18;32;29;3;0.90625;5;1;60;48;12;0.8;5;5;49;33;16;0.673469387755102;0;2;52;31;21;0.5961538461538461;0;0;27;12;15;0.4444444444444444;0;0;34;15;19;0.4411764705882353;0;1;33;18;15;0.5454545454545454;0;0;15;5;10;0.3333333333333333;0;0;Masculino
Alejandro Galán Romo;3;11100;Juan Lebrón Chincoa;Revés;Madrid;15/05/1996;1,86;Madrid;287;198;89;0.6898954703832753;18;32;29;3;0.90625;5;1;52;40;12;0.7692307692307693;5;1;45;31;14;0.6888888888888889;2;0;51;31;20;0.6078431372549019;0;1;53;35;18;0.660377358490566;0;0;46;28;18;0.6086956521739131;0;0;8;4;4;0.5;0;0;?;?;?;?;?;?;Masculino
Pablo Lima;4;10860;Francisco Navarro Compán;Drive;Porto Alegre - Bra;11/10/1986;1,8;Bilbao;423;362;61;0.8557919621749409;53;23;17;6;0.7391304347826086;1;1;51;40;11;0.7843137254901961;4;2;40;32;8;0.8;5;1;61;53;8;0.8688524590163934;8;6;59;57;2;0.9661016949152542;12;1;55;53;2;0.9636363636363636;11;0;52;42;10;0.8076923076923077;2;5;82;68;14;0.8292682926829268;4;10;Masculino
Carlos Daniel Gutiérrez;5;9020;Franco Stupaczuk;Drive;San Luis - Argentina;15/06/1984;1,77;Madrid;428;334;94;0.780373831775701;13;25;18;7;0.72;1;1;51;39;12;0.7647058823529411;5;2;59;51;8;0.864406779661017;8;4;59;48;11;0.8135593220338984;5;6;57;44;13;0.7719298245614035;2;8;54;40;14;0.7407407407407407;1;4;54;41;13;0.7592592592592593;1;4;69;53;16;0.7681159420289855;2;1;Masculino
Maximiliano Sánchez;5;9020;Martín Di Nenno;Revés;Villa Mercedes - Arg;15/12/1986;1,83;Madrid;406;305;101;0.7512315270935961;13;19;11;8;0.5789473684210527;0;0;51;39;12;0.7647058823529411;5;2;59;51;8;0.864406779661017;8;4;54;39;15;0.7222222222222222;1;4;46;32;14;0.6956521739130435;1;4;54;39;15;0.7222222222222222;0;5;54;41;13;0.7592592592592593;1;4;69;53;16;0.7681159420289855;2;1;Masculino
Fernando Belasteguín;7;7615;Agustín Tapia;Revés;Pehuajo;19/05/1979;1,8;Barcelona;414;369;45;0.8913043478260869;63;29;22;7;0.7586206896551724;1;2;46;33;13;0.717391304347826;1;3;25;21;4;0.84;4;0;61;53;8;0.8688524590163934;8;6;59;57;2;0.9661016949152542;12;1;65;63;2;0.9692307692307692;13;0;64;60;4;0.9375;9;3;65;60;5;0.9230769230769231;10;1;Masculino
Franco Stupaczuk;8;5850;Carlos Daniel Gutiérrez;Revés;Chaco - Arg;25/03/1996;1,8;Madrid;282;195;87;0.6914893617021277;10;25;18;7;0.72;1;1;50;34;16;0.68;1;1;42;27;15;0.6428571428571429;1;2;52;38;14;0.7307692307692307;3;0;35;21;14;0.6;1;0;50;37;13;0.74;1;0;16;12;4;0.75;0;0;12;8;4;0.6666666666666666;0;0;Masculino
Agustín Tapia;9;5770;Fernando Belasteguín;Revés;Catamarca - Arg;24/07/1999;1,79;Barcelona - España;93;60;33;0.6451612903225806;8;?;?;?;?;?;?;40;26;14;0.65;1;1;25;14;11;0.56;0;0;23;17;6;0.7391304347826086;0;0;5;3;2;0.6;0;0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Masculino
Matías Díaz Sangiorgio;10;5645;Agustín Gómez Silingo;Drive;Buenos Aires;27/09/1978;1,68;Madrid;393;284;109;0.72264631043257;13;21;13;8;0.6190476190476191;0;0;47;32;15;0.6808510638297872;1;1;45;31;14;0.6888888888888889;2;0;54;39;15;0.7222222222222222;1;4;46;32;14;0.6956521739130435;1;4;60;46;14;0.7666666666666667;1;5;53;39;14;0.7358490566037735;0;1;67;52;15;0.7761194029850746;2;4;Masculino
Javier Ruiz González;11;4935;Uri Botello Cohen;Revés;Granada;17/06/1987;1,83;Granada;257;144;113;0.5603112840466926;7;18;10;8;0.5555555555555556;0;1;51;34;17;0.6666666666666666;0;2;53;36;17;0.6792452830188679;2;1;35;15;20;0.42857142857142855;0;0;40;22;18;0.55;1;1;23;4;19;0.17391304347826086;0;0;36;23;13;0.6388888888888888;0;0;1;0;1;0.0;0;0;Masculino
